Time,LC_Z,LC_Y,LC_X,LT_Z,LT_Y,LT_X,RT_Z,RT_Y,RT_X,C_Z,C_Y,C_X,RC_Z,RC_Y,RC_X,S_Z,S_Y,S_X,class
,79,83,69,79,84,88,79,80,34,68,88,102,91,81,70,79,89,61,9
,103,75,63,100,88,106,55,84,67,88,92,100,72,61,62,58,86,67,9
,53,80,66,68,89,104,99,87,71,77,92,99,38,66,72,102,86,70,9
,57,86,67,67,92,99,92,91,83,65,88,100,73,92,98,94,84,74,9
,101,83,70,96,91,95,60,81,96,74,87,103,102,87,105,52,81,68,9
,80,81,67,81,88,99,68,86,89,82,90,104,62,79,86,63,82,67,9
,49,84,69,52,89,99,102,91,76,70,90,101,55,74,76,101,86,68,9
,77,85,69,81,92,99,81,95,62,67,91,100,85,67,63,81,83,66,9
,101,85,68,105,89,99,60,94,53,88,91,100,74,58,48,52,84,70,9
,76,89,68,78,94,102,83,84,55,83,89,102,39,81,40,66,80,68,9
,50,86,46,57,89,110,96,92,51,63,91,99,56,75,75,99,81,74,9
,61,70,72,67,85,113,87,98,66,67,90,104,83,79,64,85,85,66,9
,96,65,72,103,94,101,63,89,68,90,94,99,88,78,66,52,84,67,9
,76,75,75,89,94,94,67,85,69,89,92,98,67,83,74,61,86,68,9
,46,79,88,56,92,82,95,89,69,79,91,98,51,83,71,95,86,71,9
,48,87,94,61,89,78,99,86,75,64,91,100,67,76,71,100,83,67,9
,99,86,91,92,89,78,67,86,69,73,92,103,97,78,70,67,87,67,9
,102,73,81,102,94,89,63,91,67,89,92,100,72,81,68,56,86,65,9
,58,68,60,77,96,112,88,89,67,82,91,98,49,83,68,83,84,68,9
,38,70,51,60,88,112,99,94,67,63,91,96,62,89,70,100,78,70,9
,74,88,64,83,112,120,63,89,67,73,94,95,101,75,55,44,77,67,9
,100,86,73,110,88,97,66,84,50,88,84,109,64,80,67,57,83,63,9
,52,86,69,54,95,104,101,93,61,62,90,99,54,72,63,102,88,68,9
,68,87,68,75,90,100,81,88,73,69,91,99,83,79,77,82,86,69,9
,83,83,67,80,88,99,78,87,82,70,92,99,81,59,65,86,88,67,10
,106,86,68,103,91,99,54,84,68,91,90,100,67,45,65,54,86,68,10
,76,86,64,81,94,102,79,89,67,82,92,101,29,64,78,87,81,63,10
,49,78,55,62,98,113,101,106,62,65,88,97,67,84,71,96,91,61,10
,87,63,75,92,87,96,79,86,66,70,92,99,100,81,71,58,86,67,10
,91,79,89,99,88,90,56,86,69,91,92,98,91,79,70,52,85,69,10
,86,86,82,87,92,94,67,86,70,88,91,99,72,80,69,58,86,70,10
,52,70,86,64,100,99,101,87,70,69,89,97,54,78,71,105,84,67,10
,52,68,85,75,99,98,90,87,65,64,95,103,78,80,71,92,85,68,10
,91,78,79,111,95,99,54,89,68,83,90,97,96,80,69,49,86,70,10
,94,77,83,100,89,93,62,84,68,89,89,100,71,79,69,58,86,67,10
,46,61,75,62,87,99,86,87,69,80,89,100,49,80,69,105,86,69,10
,43,74,57,61,92,108,91,85,67,64,91,97,74,83,70,97,82,71,10
,86,82,67,92,106,105,54,102,63,87,92,104,92,71,57,50,83,60,10
,89,86,83,96,87,84,76,102,47,87,90,107,46,59,75,68,87,62,10
,48,87,71,53,93,98,109,84,82,64,93,97,44,75,88,103,86,68,10
,70,84,68,75,83,101,76,82,76,69,92,98,82,84,80,88,88,68,10
,105,83,67,101,87,99,56,92,72,91,92,97,93,76,81,53,87,70,10
,89,82,68,86,87,98,67,91,67,89,92,96,65,43,95,57,86,71,10
,54,83,67,63,84,99,87,88,71,82,94,102,29,72,87,103,88,66,10
,55,84,68,59,89,99,97,90,67,66,94,96,56,72,89,102,87,67,10
,90,83,68,86,85,100,60,88,65,75,92,99,95,91,74,61,86,68,10
,102,82,67,97,88,99,57,86,79,91,92,99,89,68,78,53,88,67,10
,78,84,67,81,89,99,70,88,71,87,91,98,53,44,64,63,86,67,10
,51,84,67,55,92,99,103,92,65,70,89,99,34,78,53,105,84,71,10
,60,83,50,68,93,114,88,91,60,65,93,105,81,72,74,88,84,71,10
,102,62,68,108,92,114,60,91,67,92,92,107,74,73,65,54,86,67,10
,53,65,91,75,87,88,80,88,75,84,91,98,53,77,71,68,84,68,10
,36,86,78,53,90,96,104,94,70,65,92,99,53,80,70,103,84,68,10
,67,81,80,74,94,98,88,85,74,67,92,96,78,79,71,93,83,71,10
,96,67,94,108,99,92,51,89,71,79,83,102,92,79,68,49,86,64,10
,86,71,86,103,98,101,73,92,71,83,94,98,65,80,70,63,85,71,10
,44,76,88,60,96,96,103,86,71,72,89,98,51,78,67,106,87,67,10
,54,79,85,70,96,97,93,91,69,63,92,98,68,79,70,99,85,68,10
,87,81,83,89,90,95,75,87,71,71,91,99,99,76,69,82,86,68,10
,100,63,76,103,83,99,57,88,71,90,91,99,88,80,70,53,85,68,10
,67,71,51,80,96,111,79,95,68,84,91,98,58,82,69,67,83,70,10
,39,84,67,58,90,96,105,91,70,64,91,100,58,72,59,102,86,62,10
,80,83,66,82,96,105,75,87,59,70,92,97,91,57,53,81,87,65,10
,105,84,65,107,92,108,60,89,73,90,89,102,56,59,74,58,87,67,10
,56,83,67,68,84,100,104,88,78,71,91,100,43,77,80,104,86,68,10
,65,83,68,69,87,99,88,91,73,65,92,99,77,94,84,95,87,67,10
,99,83,67,99,88,100,56,95,69,79,92,99,103,82,84,49,83,67,10
,96,83,68,96,88,99,64,96,78,90,89,98,78,68,93,53,91,63,10
,67,83,67,73,88,100,87,88,65,80,90,100,43,81,88,100,87,68,10
,55,84,67,60,88,99,100,91,67,64,90,100,73,84,80,96,85,69,10
,99,83,67,97,87,100,42,11,14,77,90,100,95,72,78,49,86,68,10
,95,81,67,95,87,99,24,81,69,89,89,100,67,56,67,56,86,67,10
,59,86,67,68,92,100,97,85,60,79,88,101,35,59,63,106,84,70,10
,60,83,65,66,90,102,87,89,68,63,88,104,71,83,52,89,84,63,10
