@relation EXAMPLE1

@attribute M_LC_Z numeric
@attribute M_LC_Y numeric
@attribute M_LC_X numeric
@attribute M_LT_Z numeric
@attribute M_LT_Y numeric
@attribute M_LT_X numeric
@attribute M_RT_Z numeric
@attribute M_RT_Y numeric
@attribute M_RT_X numeric
@attribute M_C_Z numeric
@attribute M_C_Y numeric
@attribute M_C_X numeric
@attribute M_RC_Z numeric
@attribute M_RC_Y numeric
@attribute M_RC_X numeric
@attribute M_S_Z numeric
@attribute M_S_Y numeric
@attribute M_S_X numeric
@attribute SD_LC_Z numeric
@attribute SD_LC_Y numeric
@attribute SD_LC_X numeric
@attribute SD_LT_Z numeric
@attribute SD_LT_Y numeric
@attribute SD_LT_X numeric
@attribute SD_RT_Z numeric
@attribute SD_RT_Y numeric
@attribute SD_RT_X numeric
@attribute SD_C_Z numeric
@attribute SD_C_Y numeric
@attribute SD_C_X numeric
@attribute SD_RC_Z numeric
@attribute SD_RC_Y numeric
@attribute SD_RC_X numeric
@attribute SD_S_Z numeric
@attribute SD_S_Y numeric
@attribute SD_S_X numeric
@attribute PERSON {P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13}
@attribute LABLE {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17}

@data
83.434783,95.4,75.953623,85.443478,98.536232,110.97971,88.544928,99.892754,78.005797,62.466667,32.501449,60.53913,82.292754,97.573913,80.585507,79.6,88.617391,79.507246,23.237949,5.781229,2.043908,19.852875,6.525712,2.117462,17.507725,3.529188,1.602524,4.907216,6.690735,12.268461,20.373002,2.789403,0.608461,22.243501,6.264576,2.336994,P3,5
85.973958,99.416667,76.867188,88.677083,102.494792,113,87.453125,98.377604,78.742188,58.5,38.411458,58.276042,83.716146,98.648438,80.778646,75.934896,82.203125,86.210938,22.51653,3.38091,1.631578,19.198793,4.190139,2.123774,18.123934,3.92914,1.336075,9.885806,13.884849,14.444284,19.637341,2.845656,1.118249,22.251368,3.729163,2.261495,P3,5
83.855908,96.576369,77.73487,89.158501,103.07781,114.804035,87.85879,99.066282,79.221902,52.288184,62.224784,76.674352,79.818444,93.536023,79.976945,83.054755,93.838617,80.089337,22.12167,2.639058,1.376635,19.008286,2.226963,1.295831,17.049012,1.993849,0.941997,14.907513,13.034256,4.870721,18.456239,2.742714,1.015465,21.280883,2.900344,1.533704,P3,7
79.651376,88.697248,80.033639,88.107034,101.394495,111.152905,91.036697,104.730887,80.16208,60.675841,34.204893,65.856269,77.990826,90.87156,84.030581,81.256881,91.168196,77.522936,23.275655,8.61068,13.64027,20.312788,7.166459,13.219432,19.067525,14.743092,21.345305,7.957386,11.760514,7.115956,19.115213,8.781515,15.049733,21.284186,4.877631,3.753725,P3,8
79.782828,88.212121,79.214646,85.164141,98.474747,109.338384,88.315657,102.409091,78.15404,55.89899,32.020202,62.146465,78.707071,90.982323,84.161616,82.318182,93.217172,75.752525,24.016163,16.037533,22.865701,21.273135,16.496613,18.868542,18.942733,14.45314,25.204998,5.891262,5.108875,5.22366,19.572839,12.269169,23.61698,21.975302,6.951368,4.783639,P3,9
79.70904,89.152542,81.186441,89.720339,103.728814,112.576271,90.539548,104.680791,80.186441,61.110169,62.070621,79.69209,76.689266,88.60452,82.370057,82.062147,93.89548,77.310734,22.923789,11.104252,12.174542,19.381489,6.321867,7.261158,17.908899,8.397762,10.643649,9.459504,17.725563,7.651564,19.365195,8.847521,10.079419,21.800497,3.081351,3.172899,P3,10
78.782493,87.976127,77.098143,93.729443,109.312997,102.135279,93.416446,109.018568,90.281167,56.27321,62.116711,80.811671,75.907162,86.503979,78.517241,77.702918,85.769231,77.740053,21.98807,4.173551,2.815912,19.236929,9.887305,10.92998,19.129852,12.61182,15.841573,11.231452,12.340533,12.850459,18.582225,5.038905,3.348913,21.584251,7.293201,8.283204,P3,11
78.657534,88.449315,82.720548,91.369863,105.49589,114.720548,90.186301,104.528767,78.986301,58.419178,69.684932,84.50137,76.084932,87.005479,83.210959,82.136986,92.605479,78.906849,22.359589,6.422203,4.883154,19.272741,5.164485,5.482099,18.098614,7.005858,5.53765,11.341386,5.736871,4.079769,18.883519,7.411577,2.498633,21.194543,2.438947,3.591784,P3,12
63.505792,81.285714,71.648649,77.932432,102.34556,98.65444,84.46332,113.465251,92.739382,51.391892,66.586873,81.104247,61.005792,78.144788,72.801158,64.947876,83.561776,70.403475,2.881,4.457806,7.08553,4.416238,6.256293,5.735675,18.711217,30.152536,36.100081,2.96161,3.138253,3.401218,3.302913,4.945288,7.324592,2.417597,3.642182,3.810338,P3,13
81.9701,93.621262,77.870432,83.960133,96.358804,112.69103,126.993356,173.966777,170.55814,71.415282,36.817276,75.591362,79.72093,95.79402,80.813953,87.431894,98.358804,77.757475,23.49558,0.883259,0.488903,20.025525,0.574222,0.522789,16.901708,4.915792,5.75705,1.673608,8.793487,1.551698,19.902633,0.404416,0.437379,21.942529,0.58568,0.436292,P3,14
